group,figure,cell,statistic,old,new,delta
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle brake,nDG@20% of ego speed,0.2396232878082891,0.2084726460629292,-0.03115064174535989
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle brake,nDG@20% of random,0.14740272998202053,0.14740272998202053,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle brake,ego speed above random,True,True,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono brake,nDG@20% of ego speed,0.0990826780301616,0.1475455259560173,0.0484628479258557
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono brake,nDG@20% of random,0.13007232967175456,0.13007232967175456,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono brake,ego speed above random,False,True,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_ade,nDG@20% of ego speed,-0.0306377487065602,-0.0207808220821678,0.009856926624392397
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_ade,nDG@20% of random,-0.00581607072770557,-0.00581607072770557,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_ade,ego speed above random,False,False,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_ade,nDG@20% of ego speed,-0.0238365235346629,-0.0150854885770765,0.008751034957586399
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_ade,nDG@20% of random,0.09224147137252524,0.09224147137252524,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_ade,ego speed above random,False,False,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_fde,nDG@20% of ego speed,0.0196106955544578,0.0239721092367207,0.0043614136822629004
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_fde,nDG@20% of random,0.059129469825502164,0.059129469825502164,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_fde,ego speed above random,False,False,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_fde,nDG@20% of ego speed,-0.0047150504777049,0.0065818768953703,0.011296927373075201
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_fde,nDG@20% of random,0.0797070253576951,0.0797070253576951,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_fde,ego speed above random,False,False,
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,rows where ego speed beats random,10,10,0.0
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,which rows,KITTI mono brake @20%; KITTI mono brake @30%; KITTI mono brake @50%; KITTI oracle brake @20%; KITTI oracle brake @30%; KITTI oracle brake @50%; KITTI oracle traj @30%; KITTI oracle traj @50%; nuPlan nan pdm_closed @50%; nuScenes oracle brake @50%,KITTI mono brake @20%; KITTI mono brake @30%; KITTI mono brake @50%; KITTI oracle brake @20%; KITTI oracle brake @30%; KITTI oracle brake @50%; KITTI oracle traj @30%; KITTI oracle traj @50%; nuPlan nan pdm_closed @50%; nuScenes oracle brake @50%,
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,rows won at the 10% quota,0,0,0.0
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,rows won at the 20% quota,2,2,0.0
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,rows won at the 30% quota,3,3,0.0
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,rows won at the 50% quota,5,5,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,comparisons,52,52,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,argmax differs,43,43,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,"Kendall tau between the rankings, median",0.1999999999999999,0.17142857142857135,-0.028571428571428553
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,"selection regret, median nDG",-0.0952365131068818,-0.0952365131068818,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,"selection regret, median share of the all-cheap loss",-0.00523761224395285,-0.00523761224395285,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,the E_perc winner is worse than random on decision value,15,15,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,regret intervals excluding zero,5,5,0.0
