group,figure,cell,statistic,old,new,delta,source
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_brake,sign disagreement,0.4127659574468085,0.3787234042553191,-0.03404255319148941,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_brake,Spearman rho with V,0.0631436004508122,0.0716555395607043,0.008511939109892105,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_brake,P(V<0 | gain>0) among affected,0.2659574468085106,0.2719298245614035,0.005972377752892943,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_brake,P(V<0 | gain>0) all frames,0.0174581005586592,0.018960244648318,0.0015021440896588016,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_brake,frames with gain and V both non-zero,235.0,235.0,0.0,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_plan,sign disagreement,0.5004291845493563,0.5055793991416309,0.0051502145922746045,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_plan,Spearman rho with V,0.0072008919304737,0.0125535150688392,0.0053526231383654995,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_plan,P(V<0 | gain>0) among affected,0.5066445182724253,0.5099431818181818,0.003298663545756475,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_plan,P(V<0 | gain>0) all frames,0.2659110723626852,0.2730038022813688,0.0070927299186835935,calibration_cells.csv
1 gain-vs-decision (E5_combined),"E5 row, oracle geometry, S0",nuScenes oracle q_plan,frames with gain and V both non-zero,1165.0,1165.0,0.0,calibration_cells.csv
2 sign-disagreement range over the four gains,"S0, oracle geometry",nuScenes oracle q_brake,min over gains,0.3424657534246575,0.3424657534246575,0.0,calibration_cells.csv
2 sign-disagreement range over the four gains,"S0, oracle geometry",nuScenes oracle q_brake,max over gains,0.4127659574468085,0.38,-0.03276595744680849,calibration_cells.csv
