geometry,quantity,value,baseline,paired_diff,lo,hi,n
oracle,spearman (all frames),-0.006874091707884604,0.0,-0.006874091707884604,-0.061002390348484925,0.04059128783485863,2655
oracle,spearman (both respond),-0.11547969322668028,0.0,-0.11547969322668028,-0.4240110610063536,0.2230627328408013,79
oracle,responsive_frac brake @10,0.3007518796992481,,,,,2655
oracle,responsive_frac plan @10,1.0,,,,,2655
oracle,responsive_frac brake @20,0.15065913370998116,,,,,2655
oracle,responsive_frac plan @20,1.0,,,,,2655
oracle,responsive_frac brake @30,0.10050251256281408,,,,,2655
oracle,responsive_frac plan @30,0.7273869346733668,,,,,2655
oracle,overlap@10,0.09492481203007519,0.10018832391713747,-0.005263511887062283,-0.0287229740187546,0.04713394801910098,2655
oracle,overlap@20,0.2097457627118644,0.2,0.009745762711864392,-0.028230217148925655,0.04061471404393323,2655
oracle,overlap@30,0.30166457286432163,0.2998116760828625,0.0018528967814591124,-0.02443298662733515,0.02969047705527108,2655
oracle,cross_eta brake->plan @10,0.03662282544224115,0.015188329953936826,0.021434495488304325,-0.08128665467650004,0.10093594502285315,2655
oracle,cross_eta brake->plan @20,0.08874725987516827,0.060027209244656474,0.028720050630511793,-0.07427156066935817,0.08126683278489809,2655
oracle,cross_eta brake->plan @30,0.12200497117746627,0.07846592555642132,0.04353904562104495,-0.07528750898797035,0.0783071503581799,2655
oracle,cross_eta plan->brake @10,0.04948295263001622,0.09169589623063536,-0.042212943600619134,-0.19600868040825942,0.12975968516134423,2655
oracle,cross_eta plan->brake @20,0.06740428006517118,0.14998034189952442,-0.08257606183435323,-0.2622355172328818,0.13200157725287504,2655
oracle,cross_eta plan->brake @30,0.15760075588058287,0.1487476401628542,0.008853115717728677,-0.30414083761748534,0.13314101615875595,2655
oracle,strict_pairs disagreement,0.5103110482312985,0.5,0.01031104823129847,0.4405355297538687,0.5733420347623966,241731
oracle,strict_pairs gamma,-0.020622096462596853,0.0,-0.020622096462596853,-0.14668406952479335,0.11892894049226245,241731
oracle,best_compatible brake-opt->plan @10,0.8727961792157864,,,0.7778692989173671,0.8897795748525557,2655
oracle,best_compatible brake-opt->plan @20,0.9299108119480302,,,0.8409155883245055,0.9207495928249596,2655
oracle,best_compatible brake-opt->plan @30,0.9372732697899374,,,0.790486797226164,0.9156516039316848,2655
oracle,best_compatible plan-opt->brake @10,0.04948295263001624,,,-0.21869589844424858,0.13010025229054714,2655
oracle,best_compatible plan-opt->brake @20,0.0674042800651712,,,-0.23713373867566376,0.35045170066530734,2655
oracle,best_compatible plan-opt->brake @30,0.42714362263848127,,,-0.13420134115671242,0.41230521037731493,2655
